auction_id,auction_title,seller_id,lot_number,lot_title,lot_details,bid_count,current_bid,winner_id,first_name,last_name,address_one,address_two,city,state,zip
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6233,"Blue Pure 211+ Air Purifier 3 Stage with Two Washable Pre-Filters, Particle, Carbon Filter, Captures Allergens, Odors, Smoke, Mold, Dust, Germs, Pets, Smokers, Large Room","<br><b>Description: </b>Blue Pure 211+ Air Purifier 3 Stage with Two Washable Pre Filters, Particle, Carbon Filter, Captures Allergens, Odors, Smoke, Mold, Dust, Germs, Pets, Smokers, Large Room<br><b>Location: </b>Row BB<br><b>Additional Detail: </b>Open Box",8,51,1267,Mark,AnyName,Sample Address,,AnyCity,MO,64048
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,21033,ZEKOO 12FT Country Style Rustic Sliding Wood Barn Door Rolling Antique Hardware Flat Tracks Double Doors Kit,<br><b>Description: </b>ZEKOO 12FT Country Style Rustic Sliding Wood Barn Door Rolling Antique Hardware Flat Tracks Double Doors Kit<br><b>Additional Detail: </b>Open Box,10,25.25,1432,George,AnyName,Sample Address,,AnyCity,KS,66206
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6228,"ACDelco 36R0495 Professional Rack and Pinion Power Steering Gear Assembly, Remanufactured","<br><b>Description: </b>ACDelco 36R0495 Professional Rack and Pinion Power Steering Gear Assembly, Remanufactured<br><b>Additional Detail: </b>Open Box",12,41.58,1907,Gerald,AnyName,Sample Address,,AnyCity,KS,66216
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6227,"Pet Gear No-Zip Jogger Pet Stroller for Cats/Dogs, Zipperless Entry, Easy One-Hand Fold, Gel-Filled Tires, Cup Holder + Storage Basket, Rugged Red, Large","<br><b>Description: </b>Pet Gear No Zip Jogger Pet Stroller for Cats/Dogs, Zipperless Entry, Easy One Hand Fold, Gel Filled Tires, Cup Holder + Storage Basket, Rugged Red, Large<br><b>Additional Detail: </b>Open Box",17,43.01,1907,Gerald,AnyName,Sample Address,,AnyCity,KS,66216
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6226,YAMAHA P71 88-Key Weighted Action Digital Piano with Sustain Pedal and Power Supply (Amazon-Exclusive),<br><b>Description: </b>YAMAHA P71 88 Key Weighted Action Digital Piano with Sustain Pedal and Power Supply (Amazon Exclusive)<br><b>Additional Detail: </b>Open Box,17,145.5,1907,Gerald,AnyName,Sample Address,,AnyCity,KS,66216
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10085,"RCA RFR322-B RFR322 3.2 Cu Ft Single Door Mini Fridge with Freezer, Platinum, Stainless","<br><b>Description: </b>RCA RFR322 B RFR322 3.2 Cu Ft Single Door Mini Fridge with Freezer, Platinum, Stainless<br><b>Additional Detail: </b>Open Box",10,29.23,2186,Ben,AnyName,Sample Address,,AnyCity,MO,64109
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10084,"Midea Compact Single Reversible Door Upright Freezer, 3.0 Cubic Feet, White","<br><b>Description: </b>Midea Compact Single Reversible Door Upright Freezer, 3.0 Cubic Feet, White<br><b>Additional Detail: </b>Open Box",22,60.22,2186,Ben,AnyName,Sample Address,,AnyCity,MO,64109
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10086,4-shelf shelving unit Black,<br><b>Description: </b>4 shelf shelving unit Black<br><b>Additional Detail: </b>Open Box,5,16,2186,Ben,AnyName,Sample Address,,AnyCity,MO,64109
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10083,"Simple Houseware Industrial Grade Z-Base Garment Rack, 400lb Load with 62in extra long bar","<br><b>Description: </b>Simple Houseware Industrial Grade Z Base Garment Rack, 400lb Load with 62in extra long bar<br><b>Additional Detail: </b>Open Box",11,22.21,2186,Ben,AnyName,Sample Address,,AnyCity,MO,64109
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10089,Frigidaire 2.2 Cu. Ft. Countertop Microwave in Stainless Steel,<br><b>Description: </b>Frigidaire 2.2 Cu. Ft. Countertop Microwave in Stainless Steel<br><b>Location: </b>Row BB<br><b>Additional Detail: </b>Open Box,16,62,2186,Ben,AnyName,Sample Address,,AnyCity,MO,64109
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10088,"Adcraft CVYT-120 Countertop Conveyor Toaster, Stainless Steel, 120v, NSF","<br><b>Description: </b>Adcraft CVYT 120 Countertop Conveyor Toaster, Stainless Steel, 120v, NSF<br><b>Location: </b>Row BB<br><b>Additional Detail: </b>Open Box",6,41,2186,Ben,AnyName,Sample Address,,AnyCity,MO,64109
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,10059,Whynter - 500 Sq. Ft. Portable Air Conditioner - Platinum/Black,<br><b>Description: </b>Whynter   500 Sq. Ft. Portable Air Conditioner   Platinum/Black<br><b>Additional Detail: </b>Open Box,16,71.2,4540,Tony,AnyName,Sample Address,,AnyCity,MO,64086
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6211,"Baxton Studio Wholesale Interiors Rita Modern and Contemporary Faux Leather Upholstered Button-Tufted Scalloped Headboard, Queen, White","<br><b>Description: </b>Baxton Studio Wholesale Interiors Rita Modern and Contemporary Faux Leather Upholstered Button Tufted Scalloped Headboard, Queen, White<br><b>Additional Detail: </b>Open Box",4,14.99,5225,Teresa,AnyName,Sample Address,,AnyCity,KS,66218
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6210,"Regalo Versatile Play Space 192-Inch Plastic Super Wide Portable Baby Gate and Play Yard, 4-In-1, Bonus Kit, Includes 4 Pack of Wall Mounts, Indoor and Outdoor Play Space, Cool Gray","<br><b>Description: </b>Regalo Versatile Play Space 192 Inch Plastic Super Wide Portable Baby Gate and Play Yard, 4 In 1, Bonus Kit, Includes 4 Pack of Wall Mounts, Indoor and Outdoor Play Space, Cool Gray<br><b>Additional Detail: </b>Open Box",1,5,5225,Teresa,AnyName,Sample Address,,AnyCity,KS,66218
46546,"Cold Weather = Hot Deals Auction B: Love Seat, Freezers, Mini Fridge, Pressure Washers, Bikes and More!",2957,6272,"36""X48"" Essentials Carpet Chair Mat Clear - OFM","<br><b>Description: </b>36X48"" Essentials Carpet Chair Mat Clear   OFM<br><b>Additional Detail: </b>Open Box""",5,9,5655,greg,AnyName,Sample Address,,AnyCity,KS,66085
